, C_ 1, C_ 2, C_ 3, C_ 4, C_ 5
0, G, I, G, J, G
1, I, I, J, K, H
2, H, H, J, H, K
3, G, H, K, K, J
4, H, I, J, H, G
5, H, H, I, K, K
6, H, I, G, J, G
7, K, I, J, K, G
8, I, I, J, G, J
9, I, H, K, G, J
10, H, I, J, K, G
11, J, I, J, G, H
12, J, I, G, K, J
13, J, H, H, K, I
14, K, I, G, K, I
15, G, H, I, K, J
16, H, I, G, G, J
17, H, H, G, G, H
18, H, I, H, H, G
19, K, H, J, G, H
20, H, I, G, H, G
21, G, I, G, G, I
22, G, I, K, J, J
23, H, I, G, I, G
24, H, H, I, I, I
25, H, I, G, K, G
26, G, H, G, H, G
27, J, H, H, G, H
28, H, I, K, K, G
29, J, I, K, H, G
30, H, I, H, J, G
31, K, H, I, H, H
32, I, I, K, K, J
33, J, I, H, K, I
34, H, H, J, H, J
35, K, I, I, G, G
36, H, I, K, K, K
37, I, I, G, H, J
38, I, I, J, K, J
39, G, H, I, J, K
40, H, I, G, I, K
41, K, I, I, I, G
42, H, I, G, K, J
43, G, I, J, J, G
44, G, I, K, I, H
45, I, I, K, I, H
46, J, I, J, J, I
47, K, H, H, K, G
48, K, I, H, K, K
49, K, I, H, J, G
50, G, I, I, I, G
51, I, I, H, K, K
52, I, H, J, K, G
53, I, I, G, K, G
54, I, I, J, K, I
55, I, I, J, G, K
56, K, H, J, J, J
57, H, I, I, K, G
58, H, H, J, I, K
59, H, H, J, H, K
60, G, I, K, K, G
61, K, H, J, K, I
62, I, I, G, H, J
63, J, H, I, I, G
64, K, I, J, H, I
65, G, I, J, G, I
66, H, I, H, I, J
67, H, I, H, K, J
68, G, H, G, K, K
69, J, H, H, J, H
70, H, I, G, G, J
71, J, I, G, I, J
72, K, I, J, H, G
73, H, I, K, H, G
74, H, I, J, J, J
75, G, I, I, K, J
76, H, H, I, K, I
77, J, I, G, G, G
78, G, I, K, I, J
79, I, I, J, I, K
80, G, H, J, K, K
81, H, I, J, K, G
82, H, I, G, J, G
83, H, H, H, H, G
84, H, I, G, I, G
85, G, I, J, K, J
86, H, H, H, G, G
87, H, H, G, J, I
88, H, I, J, H, I
89, J, I, G, I, G
90, K, H, K, J, I
91, H, I, H, H, H
92, J, I, G, K, G
93, K, I, J, G, G
94, J, I, G, G, J
95, K, I, H, K, G
96, I, I, I, I, H
97, K, H, G, I, I
98, J, I, G, I, K
99, J, I, J, K, K
100, G, H, J, J, G
101, H, I, J, K, G
102, K, I, J, I, G
103, J, H, J, K, G
104, H, I, H, K, I
105, H, I, J, G, H
106, I, I, I, I, G
107, I, I, J, K, J
108, H, I, K, K, H
109, J, I, K, J, J
110, H, I, I, K, I
111, H, I, J, K, K
112, I, H, K, J, G
113, I, I, J, K, J
114, I, H, I, J, I
115, K, I, I, I, J
116, H, I, K, G, H
117, I, I, K, J, J
118, H, I, G, J, K
119, G, H, J, K, G
120, H, I, J, K, G
121, K, I, K, H, J
122, K, H, G, K, K
123, I, H, G, G, I
124, H, I, I, J, J
125, K, H, J, K, K
126, I, H, H, I, H
127, I, I, G, H, I
128, H, I, K, G, K
129, H, I, I, J, G
130, K, I, K, H, H
131, K, I, H, G, G
132, H, I, G, I, J
133, I, I, G, J, H
134, G, I, G, I, K
135, J, I, I, K, J
136, H, I, J, H, K
137, J, H, J, I, K
138, H, H, G, J, G
139, H, I, J, H, G
140, H, I, G, G, K
141, H, I, J, G, G
142, G, I, H, I, I
143, G, H, I, K, H
144, I, I, J, I, I
145, H, I, J, H, G
146, J, I, H, K, G
147, H, I, H, K, K
148, H, H, H, H, G
149, I, I, J, I, G
150, I, H, J, K, J
151, K, H, G, K, H
152, J, H, J, K, G
153, H, I, J, H, I
154, G, H, J, H, I
